id,case_number,title,fir_id,status,case_priority,assigned_officer,officer,district,opened_at,updated_at,summary,crime_type
108,202600003,Burglary — Hubballi-Dharwad,108,under_investigation,medium,24,Yashwanth Rao,Hubballi-Dharwad,2026-01-01 00:00:00,2026-06-03 00:00:00,Investigation into burglary in Hubballi-Dharwad. Modus operandi cctv blindspot. AI has linked this record to related incidents in the region.,Burglary
109,202500003,Burglary — Belagavi,109,charge_sheeted,medium,30,Lokesh Naik,Belagavi,2025-06-28 00:00:00,2026-07-02 00:00:00,Investigation into burglary in Belagavi. Modus operandi night break in. AI has linked this record to related incidents in the region.,Burglary
110,202500003,Assault — Hubballi-Dharwad,110,charge_sheeted,medium,21,Praveen Reddy,Hubballi-Dharwad,2025-05-28 00:00:00,2026-06-18 00:00:00,Investigation into assault in Hubballi-Dharwad. Modus operandi street fight. AI has linked this record to related incidents in the region.,Assault
111,202600002,Murder — Hubballi-Dharwad,111,registered,critical,19,Naveen Hebbar,Hubballi-Dharwad,2026-06-11 00:00:00,2026-06-12 00:00:00,Investigation into murder in Hubballi-Dharwad. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Murder
112,202600002,Vehicle Theft — Tumakuru,112,under_investigation,medium,58,Ramesh Murthy,Tumakuru,2026-06-24 00:00:00,2026-05-18 00:00:00,Investigation into vehicle theft in Tumakuru. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
113,202500002,Robbery — Kalaburagi,113,under_investigation,high,36,Prakash Bhat,Kalaburagi,2025-06-29 00:00:00,2026-05-29 00:00:00,Investigation into robbery in Kalaburagi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
114,202500003,House Theft — Udupi,114,under_investigation,low,65,Darshan Naik,Udupi,2025-08-27 00:00:00,2026-06-26 00:00:00,Investigation into house theft in Udupi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
115,202600003,Cheating & Fraud — Bengaluru Urban,115,closed,medium,1,Darshan Shastri,Bengaluru Urban,2026-06-18 00:00:00,2026-07-15 00:00:00,Investigation into cheating & fraud in Bengaluru Urban. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
116,202600003,Chain Snatching — Belagavi,116,closed,medium,26,Ganesh Kumar,Belagavi,2026-03-31 00:00:00,2026-07-02 00:00:00,Investigation into chain snatching in Belagavi. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
117,202600002,Counterfeiting — Dakshina Kannada,117,charge_sheeted,high,16,Imran Murthy,Dakshina Kannada,2026-04-03 00:00:00,2026-06-03 00:00:00,Investigation into counterfeiting in Dakshina Kannada. Modus operandi syndicate. AI has linked this record to related incidents in the region.,Counterfeiting
118,202600003,Robbery — Mandya,118,charge_sheeted,high,68,Mahesh Bhat,Mandya,2026-04-04 00:00:00,2026-06-25 00:00:00,Investigation into robbery in Mandya. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
119,202500004,Robbery — Udupi,119,under_investigation,high,64,Chetan Shastri,Udupi,2025-11-09 00:00:00,2026-07-09 00:00:00,Investigation into robbery in Udupi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
120,202600002,Counterfeiting — Ballari,120,under_investigation,high,39,Ramesh Kumar,Ballari,2026-03-18 00:00:00,2026-05-24 00:00:00,Investigation into counterfeiting in Ballari. Modus operandi syndicate. AI has linked this record to related incidents in the region.,Counterfeiting
121,202600005,Chain Snatching — Dakshina Kannada,121,charge_sheeted,low,13,Rekha Rao,Dakshina Kannada,2026-02-09 00:00:00,2026-05-19 00:00:00,Investigation into chain snatching in Dakshina Kannada. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
122,202500002,Cybercrime — Mandya,122,under_investigation,medium,72,Harish Hegde,Mandya,2025-12-08 00:00:00,2026-06-08 00:00:00,Investigation into cybercrime in Mandya. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cybercrime
123,202600005,Vehicle Theft — Shivamogga,123,under_investigation,medium,51,Anil Naik,Shivamogga,2026-04-12 00:00:00,2026-07-02 00:00:00,Investigation into vehicle theft in Shivamogga. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
124,202600006,Vehicle Theft — Shivamogga,124,charge_sheeted,medium,49,Abdul Bhat,Shivamogga,2026-03-18 00:00:00,2026-07-13 00:00:00,Investigation into vehicle theft in Shivamogga. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
125,202500001,House Theft — Mandya,125,charge_sheeted,low,68,Mahesh Bhat,Mandya,2025-04-16 00:00:00,2026-06-18 00:00:00,Investigation into house theft in Mandya. Modus operandi insider info. AI has linked this record to related incidents in the region.,House Theft
126,202600005,Chain Snatching — Vijayapura,126,under_investigation,medium,45,Imran Kulkarni,Vijayapura,2026-05-30 00:00:00,2026-05-16 00:00:00,Investigation into chain snatching in Vijayapura. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
127,202500004,Chain Snatching — Vijayapura,127,under_investigation,low,44,Kavya Shetty,Vijayapura,2025-07-02 00:00:00,2026-06-13 00:00:00,Investigation into chain snatching in Vijayapura. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
128,202500003,Chain Snatching — Kalaburagi,128,registered,medium,33,Pooja Patil,Kalaburagi,2025-09-11 00:00:00,2026-06-19 00:00:00,Investigation into chain snatching in Kalaburagi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
129,202500002,Vehicle Theft — Dakshina Kannada,129,registered,medium,16,Imran Murthy,Dakshina Kannada,2025-01-28 00:00:00,2026-05-16 00:00:00,Investigation into vehicle theft in Dakshina Kannada. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
130,202500006,Cheating & Fraud — Udupi,130,under_investigation,medium,63,Darshan Kulkarni,Udupi,2025-12-09 00:00:00,2026-07-02 00:00:00,Investigation into cheating & fraud in Udupi. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
131,202600003,Rioting — Ballari,131,under_investigation,medium,37,Vidya Rai,Ballari,2026-01-11 00:00:00,2026-06-24 00:00:00,Investigation into rioting in Ballari. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
132,202600004,Burglary — Kalaburagi,132,charge_sheeted,medium,34,Anil Kulkarni,Kalaburagi,2026-06-25 00:00:00,2026-07-14 00:00:00,Investigation into burglary in Kalaburagi. Modus operandi night break in. AI has linked this record to related incidents in the region.,Burglary
133,202500004,House Theft — Kalaburagi,133,charge_sheeted,medium,32,Prakash Hebbar,Kalaburagi,2025-07-10 00:00:00,2026-06-20 00:00:00,Investigation into house theft in Kalaburagi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
134,202600006,Vehicle Theft — Dakshina Kannada,134,under_investigation,medium,14,Santosh Patil,Dakshina Kannada,2026-02-14 00:00:00,2026-05-25 00:00:00,Investigation into vehicle theft in Dakshina Kannada. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
135,202600001,Robbery — Vijayapura,135,charge_sheeted,high,48,Suresh Kumar,Vijayapura,2026-03-22 00:00:00,2026-07-01 00:00:00,Investigation into robbery in Vijayapura. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
136,202500001,Murder — Hubballi-Dharwad,136,under_investigation,critical,19,Naveen Hebbar,Hubballi-Dharwad,2025-08-23 00:00:00,2026-06-10 00:00:00,Investigation into murder in Hubballi-Dharwad. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Murder
137,202500002,Assault — Ballari,137,under_investigation,medium,39,Ramesh Kumar,Ballari,2025-10-11 00:00:00,2026-05-29 00:00:00,Investigation into assault in Ballari. Modus operandi street fight. AI has linked this record to related incidents in the region.,Assault
138,202600007,Murder — Dakshina Kannada,138,charge_sheeted,critical,15,Divya Reddy,Dakshina Kannada,2026-05-29 00:00:00,2026-05-29 00:00:00,Investigation into murder in Dakshina Kannada. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Murder
139,202500002,House Theft — Shivamogga,139,registered,low,50,Divya Gowda,Shivamogga,2025-12-06 00:00:00,2026-06-28 00:00:00,Investigation into house theft in Shivamogga. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
140,202600002,Chain Snatching — Vijayapura,140,charge_sheeted,low,47,Mahesh Shetty,Vijayapura,2026-02-27 00:00:00,2026-06-16 00:00:00,Investigation into chain snatching in Vijayapura. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
141,202600006,Drug Trafficking — Mysuru,141,registered,high,8,Abdul Patil,Mysuru,2026-02-02 00:00:00,2026-05-27 00:00:00,Investigation into drug trafficking in Mysuru. Modus operandi drug courier. AI has linked this record to related incidents in the region.,Drug Trafficking
142,202600004,Rioting — Hubballi-Dharwad,142,registered,medium,23,Naveen Kulkarni,Hubballi-Dharwad,2026-05-08 00:00:00,2026-06-28 00:00:00,Investigation into rioting in Hubballi-Dharwad. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
143,202600004,Cybercrime — Mandya,143,under_investigation,medium,68,Mahesh Bhat,Mandya,2026-04-20 00:00:00,2026-06-03 00:00:00,Investigation into cybercrime in Mandya. Modus operandi fake upi link. AI has linked this record to related incidents in the region.,Cybercrime
144,202600002,Vehicle Theft — Udupi,144,under_investigation,medium,61,Imran Shetty,Udupi,2026-03-16 00:00:00,2026-06-28 00:00:00,Investigation into vehicle theft in Udupi. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
145,202600004,Murder — Belagavi,145,under_investigation,critical,26,Ganesh Kumar,Belagavi,2026-01-23 00:00:00,2026-06-08 00:00:00,Investigation into murder in Belagavi. Modus operandi premeditated. AI has linked this record to related incidents in the region.,Murder
146,202500001,Dacoity — Hubballi-Dharwad,146,closed,critical,24,Yashwanth Rao,Hubballi-Dharwad,2025-11-01 00:00:00,2026-07-03 00:00:00,Investigation into dacoity in Hubballi-Dharwad. Modus operandi armed robbery. AI has linked this record to related incidents in the region.,Dacoity
147,202600004,Vehicle Theft — Kalaburagi,147,under_investigation,low,32,Prakash Hebbar,Kalaburagi,2026-05-17 00:00:00,2026-06-05 00:00:00,Investigation into vehicle theft in Kalaburagi. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
148,202600002,Kidnapping — Bengaluru Urban,148,under_investigation,high,6,Ravi Hegde,Bengaluru Urban,2026-05-24 00:00:00,2026-07-14 00:00:00,Investigation into kidnapping in Bengaluru Urban. Modus operandi ransom. AI has linked this record to related incidents in the region.,Kidnapping
149,202600003,Robbery — Tumakuru,149,charge_sheeted,high,58,Ramesh Murthy,Tumakuru,2026-01-26 00:00:00,2026-06-07 00:00:00,Investigation into robbery in Tumakuru. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
150,202500001,Vehicle Theft — Belagavi,150,under_investigation,low,29,Anil Rao,Belagavi,2025-04-10 00:00:00,2026-07-15 00:00:00,Investigation into vehicle theft in Belagavi. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
151,202600001,Vehicle Theft — Mandya,151,charge_sheeted,medium,71,Basavaraj Kulkarni,Mandya,2026-02-03 00:00:00,2026-06-16 00:00:00,Investigation into vehicle theft in Mandya. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
152,202500003,Chain Snatching — Ballari,152,registered,medium,39,Ramesh Kumar,Ballari,2025-09-30 00:00:00,2026-05-21 00:00:00,Investigation into chain snatching in Ballari. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
153,202600005,Rioting — Belagavi,153,under_investigation,medium,25,Girish Reddy,Belagavi,2026-03-17 00:00:00,2026-06-10 00:00:00,Investigation into rioting in Belagavi. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
154,202500003,Kidnapping — Shivamogga,154,charge_sheeted,high,49,Abdul Bhat,Shivamogga,2025-01-23 00:00:00,2026-05-24 00:00:00,Investigation into kidnapping in Shivamogga. Modus operandi ransom. AI has linked this record to related incidents in the region.,Kidnapping
155,202600005,Attempt to Murder — Kalaburagi,155,under_investigation,high,35,Deepak Kumar,Kalaburagi,2026-01-29 00:00:00,2026-05-16 00:00:00,Investigation into attempt to murder in Kalaburagi. Modus operandi gang rivalry. AI has linked this record to related incidents in the region.,Attempt to Murder
156,202600007,Robbery — Shivamogga,156,charge_sheeted,high,49,Abdul Bhat,Shivamogga,2026-05-22 00:00:00,2026-06-01 00:00:00,Investigation into robbery in Shivamogga. Modus operandi armed robbery. AI has linked this record to related incidents in the region.,Robbery
157,202600006,Burglary — Kalaburagi,157,under_investigation,medium,36,Prakash Bhat,Kalaburagi,2026-06-27 00:00:00,2026-06-07 00:00:00,Investigation into burglary in Kalaburagi. Modus operandi night break in. AI has linked this record to related incidents in the region.,Burglary
158,202600001,Rioting — Shivamogga,158,under_investigation,medium,49,Abdul Bhat,Shivamogga,2026-01-21 00:00:00,2026-06-19 00:00:00,Investigation into rioting in Shivamogga. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
159,202600005,Cheating & Fraud — Hubballi-Dharwad,159,charge_sheeted,medium,24,Yashwanth Rao,Hubballi-Dharwad,2026-05-02 00:00:00,2026-06-22 00:00:00,Investigation into cheating & fraud in Hubballi-Dharwad. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cheating & Fraud
160,202500005,House Theft — Mysuru,160,under_investigation,low,7,Umesh Naik,Mysuru,2025-11-06 00:00:00,2026-07-10 00:00:00,Investigation into house theft in Mysuru. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
161,202500002,Counterfeiting — Tumakuru,161,under_investigation,high,57,Chetan Achar,Tumakuru,2025-04-29 00:00:00,2026-06-17 00:00:00,Investigation into counterfeiting in Tumakuru. Modus operandi fake currency. AI has linked this record to related incidents in the region.,Counterfeiting
162,202600006,Cybercrime — Hubballi-Dharwad,162,registered,medium,22,Darshan Shetty,Hubballi-Dharwad,2026-04-13 00:00:00,2026-07-09 00:00:00,Investigation into cybercrime in Hubballi-Dharwad. Modus operandi otp fraud. AI has linked this record to related incidents in the region.,Cybercrime
163,202500004,Chain Snatching — Vijayapura,163,under_investigation,medium,48,Suresh Kumar,Vijayapura,2025-07-26 00:00:00,2026-06-21 00:00:00,Investigation into chain snatching in Vijayapura. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
164,202500001,Extortion — Mysuru,164,under_investigation,high,10,Nagaraj Nayak,Mysuru,2025-05-31 00:00:00,2026-06-10 00:00:00,Investigation into extortion in Mysuru. Modus operandi gang operation. AI has linked this record to related incidents in the region.,Extortion
165,202500004,Drug Trafficking — Ballari,165,registered,high,39,Ramesh Kumar,Ballari,2025-11-14 00:00:00,2026-06-12 00:00:00,Investigation into drug trafficking in Ballari. Modus operandi drug courier. AI has linked this record to related incidents in the region.,Drug Trafficking
166,202600004,Chain Snatching — Bengaluru Urban,166,under_investigation,low,2,Nagaraj Murthy,Bengaluru Urban,2026-05-06 00:00:00,2026-07-11 00:00:00,Investigation into chain snatching in Bengaluru Urban. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
167,202600004,Rioting — Ballari,167,registered,medium,39,Ramesh Kumar,Ballari,2026-04-15 00:00:00,2026-07-03 00:00:00,Investigation into rioting in Ballari. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
168,202500002,Burglary — Mysuru,168,under_investigation,low,12,Prakash Kumar,Mysuru,2025-11-18 00:00:00,2026-07-05 00:00:00,Investigation into burglary in Mysuru. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,Burglary
169,202500001,Vehicle Theft — Mysuru,169,under_investigation,low,10,Nagaraj Nayak,Mysuru,2025-08-22 00:00:00,2026-06-24 00:00:00,Investigation into vehicle theft in Mysuru. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
170,202600002,Kidnapping — Udupi,170,under_investigation,high,64,Chetan Shastri,Udupi,2026-01-26 00:00:00,2026-07-15 00:00:00,Investigation into kidnapping in Udupi. Modus operandi ransom. AI has linked this record to related incidents in the region.,Kidnapping
171,202600002,Attempt to Murder — Mandya,171,under_investigation,high,71,Basavaraj Kulkarni,Mandya,2026-07-02 00:00:00,2026-06-29 00:00:00,Investigation into attempt to murder in Mandya. Modus operandi gang rivalry. AI has linked this record to related incidents in the region.,Attempt to Murder
172,202500005,Dacoity — Udupi,172,charge_sheeted,critical,64,Chetan Shastri,Udupi,2025-12-01 00:00:00,2026-05-28 00:00:00,Investigation into dacoity in Udupi. Modus operandi gang operation. AI has linked this record to related incidents in the region.,Dacoity
173,202600003,Chain Snatching — Udupi,173,registered,low,63,Darshan Kulkarni,Udupi,2026-06-27 00:00:00,2026-05-22 00:00:00,Investigation into chain snatching in Udupi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
174,202600006,Vehicle Theft — Vijayapura,174,under_investigation,medium,44,Kavya Shetty,Vijayapura,2026-03-06 00:00:00,2026-07-01 00:00:00,Investigation into vehicle theft in Vijayapura. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
175,202600008,Rioting — Dakshina Kannada,175,under_investigation,medium,14,Santosh Patil,Dakshina Kannada,2026-04-01 00:00:00,2026-06-09 00:00:00,Investigation into rioting in Dakshina Kannada. Modus operandi mob. AI has linked this record to related incidents in the region.,Rioting
176,202600003,Vehicle Theft — Bengaluru Urban,176,under_investigation,medium,4,Chetan Kumar,Bengaluru Urban,2026-05-29 00:00:00,2026-07-08 00:00:00,Investigation into vehicle theft in Bengaluru Urban. Modus operandi duplicate key. AI has linked this record to related incidents in the region.,Vehicle Theft
177,202600003,Robbery — Dakshina Kannada,177,closed,high,17,Praveen Murthy,Dakshina Kannada,2026-03-17 00:00:00,2026-06-03 00:00:00,Investigation into robbery in Dakshina Kannada. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Robbery
178,202600007,Chain Snatching — Kalaburagi,178,charge_sheeted,medium,36,Prakash Bhat,Kalaburagi,2026-06-29 00:00:00,2026-07-15 00:00:00,Investigation into chain snatching in Kalaburagi. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
179,202500003,Cybercrime — Dakshina Kannada,179,charge_sheeted,low,13,Rekha Rao,Dakshina Kannada,2025-07-07 00:00:00,2026-05-17 00:00:00,Investigation into cybercrime in Dakshina Kannada. Modus operandi fake upi link. AI has linked this record to related incidents in the region.,Cybercrime
180,202600004,House Theft — Belagavi,180,registered,medium,30,Lokesh Naik,Belagavi,2026-02-27 00:00:00,2026-06-25 00:00:00,Investigation into house theft in Belagavi. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
181,202500002,Cybercrime — Tumakuru,181,charge_sheeted,medium,59,Abdul Shastri,Tumakuru,2025-02-15 00:00:00,2026-06-02 00:00:00,Investigation into cybercrime in Tumakuru. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cybercrime
182,202600008,Chain Snatching — Kalaburagi,182,closed,low,35,Deepak Kumar,Kalaburagi,2026-04-12 00:00:00,2026-07-01 00:00:00,Investigation into chain snatching in Kalaburagi. Modus operandi two wheeler getaway. AI has linked this record to related incidents in the region.,Chain Snatching
183,202600009,Cheating & Fraud — Kalaburagi,183,under_investigation,low,36,Prakash Bhat,Kalaburagi,2026-03-22 00:00:00,2026-05-17 00:00:00,Investigation into cheating & fraud in Kalaburagi. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
184,202600006,Attempt to Murder — Tumakuru,184,closed,high,56,Suresh Murthy,Tumakuru,2026-06-15 00:00:00,2026-06-05 00:00:00,Investigation into attempt to murder in Tumakuru. Modus operandi gang rivalry. AI has linked this record to related incidents in the region.,Attempt to Murder
185,202500004,Vehicle Theft — Hubballi-Dharwad,185,under_investigation,low,19,Naveen Hebbar,Hubballi-Dharwad,2025-11-23 00:00:00,2026-06-22 00:00:00,Investigation into vehicle theft in Hubballi-Dharwad. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
186,202600002,House Theft — Mysuru,186,under_investigation,medium,10,Nagaraj Nayak,Mysuru,2026-03-24 00:00:00,2026-05-28 00:00:00,Investigation into house theft in Mysuru. Modus operandi insider info. AI has linked this record to related incidents in the region.,House Theft
187,202500005,Extortion — Kalaburagi,187,under_investigation,high,33,Pooja Patil,Kalaburagi,2025-06-06 00:00:00,2026-06-22 00:00:00,Investigation into extortion in Kalaburagi. Modus operandi threat call. AI has linked this record to related incidents in the region.,Extortion
188,202500005,Rioting — Hubballi-Dharwad,188,under_investigation,medium,19,Naveen Hebbar,Hubballi-Dharwad,2025-05-03 00:00:00,2026-06-13 00:00:00,Investigation into rioting in Hubballi-Dharwad. Modus operandi communal. AI has linked this record to related incidents in the region.,Rioting
189,202600007,Cybercrime — Vijayapura,189,charge_sheeted,medium,44,Kavya Shetty,Vijayapura,2026-04-20 00:00:00,2026-05-21 00:00:00,Investigation into cybercrime in Vijayapura. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cybercrime
190,202600009,Cheating & Fraud — Dakshina Kannada,190,under_investigation,medium,13,Rekha Rao,Dakshina Kannada,2026-05-23 00:00:00,2026-06-26 00:00:00,Investigation into cheating & fraud in Dakshina Kannada. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
191,202600001,Chain Snatching — Mandya,191,closed,medium,70,Shivaraj Nayak,Mandya,2026-06-08 00:00:00,2026-06-04 00:00:00,Investigation into chain snatching in Mandya. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
192,202600003,Counterfeiting — Mandya,192,closed,high,70,Shivaraj Nayak,Mandya,2026-04-21 00:00:00,2026-07-01 00:00:00,Investigation into counterfeiting in Mandya. Modus operandi fake currency. AI has linked this record to related incidents in the region.,Counterfeiting
193,202600004,Cheating & Fraud — Dakshina Kannada,193,charge_sheeted,medium,16,Imran Murthy,Dakshina Kannada,2026-04-20 00:00:00,2026-07-12 00:00:00,Investigation into cheating & fraud in Dakshina Kannada. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
194,202600007,Kidnapping — Hubballi-Dharwad,194,under_investigation,high,23,Naveen Kulkarni,Hubballi-Dharwad,2026-05-08 00:00:00,2026-06-04 00:00:00,Investigation into kidnapping in Hubballi-Dharwad. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Kidnapping
195,202500003,Kidnapping — Kalaburagi,195,under_investigation,high,34,Anil Kulkarni,Kalaburagi,2025-07-21 00:00:00,2026-06-20 00:00:00,Investigation into kidnapping in Kalaburagi. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Kidnapping
196,202600001,Extortion — Udupi,196,under_investigation,high,65,Darshan Naik,Udupi,2026-02-22 00:00:00,2026-05-31 00:00:00,Investigation into extortion in Udupi. Modus operandi gang operation. AI has linked this record to related incidents in the region.,Extortion
197,202500005,Cheating & Fraud — Vijayapura,197,charge_sheeted,low,48,Suresh Kumar,Vijayapura,2025-06-04 00:00:00,2026-06-19 00:00:00,Investigation into cheating & fraud in Vijayapura. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
198,202600003,Cybercrime — Vijayapura,198,under_investigation,medium,48,Suresh Kumar,Vijayapura,2026-07-09 00:00:00,2026-05-27 00:00:00,Investigation into cybercrime in Vijayapura. Modus operandi impersonation. AI has linked this record to related incidents in the region.,Cybercrime
199,202500003,Murder — Tumakuru,199,charge_sheeted,critical,60,Manjunath Naik,Tumakuru,2025-04-02 00:00:00,2026-06-25 00:00:00,Investigation into murder in Tumakuru. Modus operandi premeditated. AI has linked this record to related incidents in the region.,Murder
200,202500001,Chain Snatching — Shivamogga,200,under_investigation,medium,52,Ravi Shastri,Shivamogga,2025-04-05 00:00:00,2026-05-23 00:00:00,Investigation into chain snatching in Shivamogga. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
201,202600004,Vehicle Theft — Udupi,201,charge_sheeted,medium,63,Darshan Kulkarni,Udupi,2026-07-15 00:00:00,2026-06-18 00:00:00,Investigation into vehicle theft in Udupi. Modus operandi vehicle lifting. AI has linked this record to related incidents in the region.,Vehicle Theft
202,202500004,Drug Trafficking — Tumakuru,202,charge_sheeted,high,60,Manjunath Naik,Tumakuru,2025-11-18 00:00:00,2026-06-13 00:00:00,Investigation into drug trafficking in Tumakuru. Modus operandi drug courier. AI has linked this record to related incidents in the region.,Drug Trafficking
203,202600002,Counterfeiting — Ballari,203,under_investigation,high,41,Kiran Desai,Ballari,2026-04-12 00:00:00,2026-07-11 00:00:00,Investigation into counterfeiting in Ballari. Modus operandi syndicate. AI has linked this record to related incidents in the region.,Counterfeiting
204,202600008,Chain Snatching — Shivamogga,204,under_investigation,medium,51,Anil Naik,Shivamogga,2026-03-22 00:00:00,2026-07-10 00:00:00,Investigation into chain snatching in Shivamogga. Modus operandi crowded market. AI has linked this record to related incidents in the region.,Chain Snatching
205,202600006,Robbery — Belagavi,205,under_investigation,high,25,Girish Reddy,Belagavi,2026-05-02 00:00:00,2026-06-13 00:00:00,Investigation into robbery in Belagavi. Modus operandi armed robbery. AI has linked this record to related incidents in the region.,Robbery
206,202500006,Cybercrime — Mysuru,206,under_investigation,low,9,Suresh Murthy,Mysuru,2025-09-23 00:00:00,2026-06-02 00:00:00,Investigation into cybercrime in Mysuru. Modus operandi fake upi link. AI has linked this record to related incidents in the region.,Cybercrime
207,202600006,Extortion — Hubballi-Dharwad,207,closed,high,20,Ganesh Kumar,Hubballi-Dharwad,2026-06-05 00:00:00,2026-06-22 00:00:00,Investigation into extortion in Hubballi-Dharwad. Modus operandi gang operation. AI has linked this record to related incidents in the region.,Extortion
208,202500001,Cheating & Fraud — Bengaluru Urban,208,closed,medium,1,Darshan Shastri,Bengaluru Urban,2025-09-01 00:00:00,2026-07-14 00:00:00,Investigation into cheating & fraud in Bengaluru Urban. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
209,202600004,House Theft — Bengaluru Urban,209,charge_sheeted,medium,5,Deepak Hebbar,Bengaluru Urban,2026-06-10 00:00:00,2026-06-17 00:00:00,Investigation into house theft in Bengaluru Urban. Modus operandi lock breaking. AI has linked this record to related incidents in the region.,House Theft
210,202600010,Extortion — Dakshina Kannada,210,closed,high,15,Divya Reddy,Dakshina Kannada,2026-05-03 00:00:00,2026-07-01 00:00:00,Investigation into extortion in Dakshina Kannada. Modus operandi gang operation. AI has linked this record to related incidents in the region.,Extortion
211,202500006,Cheating & Fraud — Vijayapura,211,under_investigation,medium,46,Mahesh Desai,Vijayapura,2025-05-29 00:00:00,2026-06-20 00:00:00,Investigation into cheating & fraud in Vijayapura. Modus operandi fake investment. AI has linked this record to related incidents in the region.,Cheating & Fraud
212,202600005,Murder — Belagavi,212,under_investigation,critical,29,Anil Rao,Belagavi,2026-07-13 00:00:00,2026-07-05 00:00:00,Investigation into murder in Belagavi. Modus operandi personal enmity. AI has linked this record to related incidents in the region.,Murder
213,202500001,House Theft — Mysuru,213,closed,medium,8,Abdul Patil,Mysuru,2025-04-08 00:00:00,2026-05-29 00:00:00,Investigation into house theft in Mysuru. Modus operandi insider info. AI has linked this record to related incidents in the region.,House Theft
214,202500005,Assault — Ballari,214,under_investigation,medium,37,Vidya Rai,Ballari,2025-05-16 00:00:00,2026-06-12 00:00:00,Investigation into assault in Ballari. Modus operandi street fight. AI has linked this record to related incidents in the region.,Assault
